gameType,accuracy,score,completionTime,attempts,incorrectAttempts,correctAnswers,completionRate,previousDifficulty,recommendedDifficulty
memory_match,0.87,181,33.8,5,1,4,1.0,easy,hard
pattern_recognition,0.92,200,21.1,6,0,6,1.0,easy,hard
memory_match,0.79,116,43.0,11,2,9,0.99,hard,easy
pattern_recognition,0.97,200,15.3,4,0,4,1.0,easy,hard
pattern_recognition,0.92,200,25.3,4,0,4,1.0,hard,hard
object_recognition,0.66,109,43.4,9,1,8,0.99,easy,medium
memory_match,0.85,200,12.3,7,0,7,1.0,easy,hard
daily_routine_recall,0.4,16,83.5,15,5,10,0.67,easy,easy
daily_routine_recall,0.26,10,49.2,12,6,6,0.83,easy,easy
daily_routine_recall,0.96,200,17.6,7,0,7,1.0,medium,hard
memory_match,0.65,106,45.5,9,2,7,0.98,hard,medium
object_recognition,0.85,194,26.6,5,0,5,1.0,easy,hard
daily_routine_recall,0.28,11,81.9,14,7,7,0.75,hard,easy
memory_match,0.56,22,103.2,12,6,6,0.83,hard,easy
memory_match,0.52,20,93.6,14,7,7,0.83,easy,easy
object_recognition,0.73,122,33.3,10,1,9,0.81,hard,medium
daily_routine_recall,1.0,200,29.3,7,0,7,1.0,easy,hard
memory_match,0.8,200,15.0,7,1,6,1.0,hard,hard
pattern_recognition,0.77,130,27.2,6,1,5,0.98,easy,medium
pattern_recognition,0.79,120,38.5,10,1,9,0.95,hard,hard
memory_match,0.44,17,102.7,11,3,8,0.45,easy,easy
object_recognition,0.47,18,94.5,15,4,11,0.62,medium,easy
daily_routine_recall,0.9,200,20.7,4,0,4,1.0,easy,hard
object_recognition,0.64,100,51.9,11,2,9,0.9,easy,medium
daily_routine_recall,0.98,200,16.2,6,0,6,1.0,hard,hard
object_recognition,0.28,11,106.3,13,5,8,0.47,medium,easy
pattern_recognition,0.8,110,49.2,10,2,8,0.96,hard,hard
memory_match,0.27,10,103.0,12,5,7,0.45,easy,easy
object_recognition,0.34,13,103.9,9,3,6,0.69,hard,easy
object_recognition,0.6,114,35.6,8,1,7,0.88,hard,medium
memory_match,0.84,200,13.0,6,0,6,1.0,hard,hard
daily_routine_recall,0.64,120,31.6,10,2,8,0.87,hard,medium
object_recognition,0.81,106,53.9,7,1,6,0.94,easy,hard
daily_routine_recall,0.26,10,109.9,11,5,6,0.84,hard,easy
memory_match,0.69,128,26.0,6,1,5,0.85,hard,medium
pattern_recognition,0.63,111,39.7,11,3,8,0.82,easy,medium
memory_match,0.68,121,32.3,12,3,9,0.93,hard,medium
memory_match,0.74,115,41.1,6,1,5,0.83,medium,medium
pattern_recognition,0.39,15,90.2,14,5,9,0.55,hard,easy
object_recognition,0.84,191,27.8,8,1,7,1.0,easy,hard
pattern_recognition,0.74,126,30.2,8,2,6,0.97,hard,medium
pattern_recognition,0.94,198,28.4,6,0,6,1.0,medium,hard
object_recognition,0.98,200,16.4,5,0,5,1.0,easy,hard
pattern_recognition,0.82,120,40.5,6,1,5,0.82,hard,hard
daily_routine_recall,0.98,193,32.5,4,0,4,1.0,medium,hard
pattern_recognition,0.31,12,90.5,14,5,9,0.8,easy,easy
pattern_recognition,0.5,20,86.7,11,5,6,0.47,hard,hard
memory_match,0.54,21,84.4,16,5,11,0.82,easy,easy
daily_routine_recall,0.99,200,17.1,5,0,5,1.0,easy,hard
object_recognition,0.94,200,26.3,4,0,4,1.0,easy,hard
object_recognition,0.6,110,39.8,8,1,7,0.93,easy,medium
pattern_recognition,0.42,16,51.1,16,5,11,0.52,easy,easy
daily_routine_recall,0.65,97,54.2,8,1,7,0.89,medium,medium
memory_match,0.87,196,26.1,4,0,4,1.0,hard,hard
memory_match,0.64,105,46.7,8,1,7,0.95,easy,medium
memory_match,0.22,10,109.6,18,7,11,0.81,easy,easy
object_recognition,0.68,128,25.5,8,3,5,0.91,easy,medium
object_recognition,0.42,16,108.7,16,6,10,0.57,easy,easy
memory_match,0.97,200,17.9,4,0,4,1.0,easy,hard
memory_match,0.35,14,99.9,16,5,11,0.44,easy,easy
object_recognition,0.43,17,109.4,12,4,8,0.53,medium,easy
memory_match,0.67,102,50.5,10,1,9,0.86,easy,medium
daily_routine_recall,0.69,121,32.7,10,2,8,0.9,medium,medium
object_recognition,0.39,15,96.9,14,3,11,0.76,easy,easy
memory_match,0.98,200,18.4,5,0,5,1.0,hard,hard
daily_routine_recall,0.37,14,88.7,11,5,6,0.47,easy,easy
pattern_recognition,1.0,198,31.0,5,1,4,1.0,easy,hard
pattern_recognition,0.81,182,30.6,7,0,7,1.0,easy,hard
pattern_recognition,0.32,12,98.8,15,6,9,0.83,medium,easy
pattern_recognition,0.89,188,31.1,5,0,5,1.0,hard,easy
object_recognition,0.91,200,25.9,5,1,4,1.0,hard,hard
daily_routine_recall,0.57,22,91.4,11,5,6,0.58,medium,easy
daily_routine_recall,0.7,107,47.3,7,1,6,0.99,easy,medium
daily_routine_recall,0.78,113,45.9,8,2,6,0.98,medium,hard
memory_match,0.7,122,32.2,6,1,5,0.93,easy,medium
memory_match,0.86,180,33.9,7,1,6,1.0,easy,hard
daily_routine_recall,0.7,108,46.9,7,1,6,0.87,easy,medium
pattern_recognition,0.77,132,25.4,10,1,9,0.82,medium,medium
daily_routine_recall,0.86,179,34.5,7,0,7,1.0,hard,hard
daily_routine_recall,0.24,10,77.0,12,6,6,0.61,hard,easy
pattern_recognition,0.45,18,48.1,16,7,9,0.42,medium,easy
pattern_recognition,0.68,110,43.8,7,2,5,0.91,medium,medium
daily_routine_recall,0.94,200,25.4,7,2,5,1.0,easy,hard
daily_routine_recall,0.61,107,42.6,11,3,8,0.88,hard,medium
memory_match,0.93,200,21.5,4,0,4,1.0,easy,hard
daily_routine_recall,0.44,17,98.3,12,4,8,0.49,easy,easy
pattern_recognition,0.62,123,28.0,8,1,7,0.92,hard,medium
object_recognition,0.87,196,26.4,5,0,5,1.0,hard,hard
memory_match,0.21,10,97.9,12,3,9,0.71,easy,easy
pattern_recognition,0.33,13,105.9,12,6,6,0.76,hard,easy
pattern_recognition,0.31,12,56.5,11,3,8,0.85,medium,easy
daily_routine_recall,0.69,117,36.2,11,2,9,0.85,easy,medium
pattern_recognition,0.46,18,93.1,11,5,6,0.57,hard,easy
object_recognition,0.91,200,22.4,4,0,4,1.0,hard,hard
pattern_recognition,0.54,21,70.3,16,6,10,0.81,easy,easy
memory_match,0.82,200,18.0,9,2,7,1.0,easy,hard
object_recognition,0.9,200,22.3,4,0,4,1.0,hard,hard
daily_routine_recall,0.86,200,18.2,7,0,7,1.0,easy,hard
memory_match,0.56,22,95.8,17,7,10,0.62,medium,easy
object_recognition,0.61,108,41.5,11,2,9,0.87,medium,medium
pattern_recognition,0.24,10,54.3,11,4,7,0.68,easy,easy
object_recognition,0.62,123,27.5,8,2,6,0.88,medium,medium
daily_routine_recall,0.98,200,13.7,5,0,5,1.0,medium,hard
daily_routine_recall,0.57,22,69.3,14,3,11,0.77,easy,easy
daily_routine_recall,0.99,189,34.7,6,1,5,1.0,easy,hard
daily_routine_recall,0.47,18,76.3,17,6,11,0.72,easy,easy
daily_routine_recall,0.65,117,34.9,11,2,9,0.8,hard,medium
memory_match,0.89,200,11.4,4,0,4,1.0,medium,hard
memory_match,0.78,111,47.3,10,2,8,0.99,hard,hard
pattern_recognition,0.68,120,33.6,12,3,9,0.99,medium,medium
daily_routine_recall,0.6,95,54.1,10,1,9,0.81,hard,medium
memory_match,0.8,107,52.6,8,1,7,0.99,hard,hard
object_recognition,0.72,112,43.9,7,2,5,0.93,medium,medium
pattern_recognition,0.73,104,52.0,9,1,8,0.99,easy,medium
object_recognition,0.81,200,19.9,4,0,4,1.0,hard,hard
daily_routine_recall,0.86,200,14.7,5,0,5,1.0,medium,hard
daily_routine_recall,0.29,11,62.3,13,7,6,0.52,medium,easy
daily_routine_recall,0.7,129,26.0,10,1,9,0.96,medium,medium
pattern_recognition,0.75,127,29.9,12,3,9,0.99,hard,medium
pattern_recognition,0.36,14,82.8,10,3,7,0.44,hard,easy
daily_routine_recall,0.53,21,80.9,13,7,6,0.75,easy,easy
pattern_recognition,0.38,15,109.0,15,5,10,0.74,easy,easy
object_recognition,0.35,14,98.9,13,3,10,0.43,hard,easy
pattern_recognition,0.81,200,13.3,6,0,6,1.0,hard,hard
object_recognition,0.53,21,97.8,18,7,11,0.81,easy,easy
memory_match,0.73,109,46.8,9,2,7,0.85,easy,medium
object_recognition,0.89,200,13.2,6,2,4,1.0,easy,hard
memory_match,0.28,11,102.1,13,4,9,0.52,medium,easy
daily_routine_recall,0.8,199,22.5,6,0,6,1.0,medium,hard
object_recognition,0.71,104,50.6,11,2,9,0.82,hard,medium
object_recognition,0.77,115,42.7,11,2,9,0.92,medium,medium
daily_routine_recall,0.75,125,31.4,9,1,8,1.0,hard,medium
daily_routine_recall,0.43,17,86.4,13,5,8,0.81,medium,easy
pattern_recognition,0.68,113,40.4,10,2,8,0.86,medium,medium
memory_match,0.4,16,90.3,16,7,9,0.61,easy,easy
pattern_recognition,0.52,20,95.0,16,6,10,0.84,hard,easy
